speaker,annot.clip,start.ms,stop.ms,addressee,spkr.n.increments,spkr.prev.increment.start,spkr.prev.increment.stop,spkr.post.increment.start,spkr.post.increment.stop,prompt.spkr,prompt.start.ms,prompt.stop.ms,prompt.n.increments,prompt.prev.increment.start,prompt.prev.increment.stop,response.spkr,response.start.ms,response.stop.ms,response.n.increments,response.post.increment.start,response.post.increment.stop
CH,annotated-0_51968990-1,781210,781880,NA,2,NA,NA,781880,782680,FA,779270,780410,1,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,781880,782680,NA,2,781210,781880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,807800,808540,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,833020,833840,NA,2,NA,NA,834710,835370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,834710,835370,NA,2,833020,833840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,836490,837130,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,838170,838810,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,842230,843150,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,855810,856530,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,858250,861330,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,865640,867530,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,870310,872030,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,878780,879880,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FA,880680,881750,1,NA,NA
CH,annotated-0_51968990-1,905320,907190,NA,2,NA,NA,907190,908300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,907190,908300,NA,2,905320,907190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,911150,911750,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,937710,938430,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,954890,958030,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,986230,986830,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1061410,1062770,NA,1,NA,NA,NA,NA,FA,1060040,1061410,1,NA,NA,FA,1063640,1065510,1,NA,NA
CH,annotated-0_51968990-1,1127440,1128040,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1142610,1143220,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1221200,1222440,NA,1,NA,NA,NA,NA,FA,1220370,1221200,2,1219260,1220370,FA,1222440,1223090,2,1223090,1224090
CH,annotated-0_51968990-1,1227890,1228490,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FA,1228490,1229340,1,NA,NA
CH,annotated-0_51968990-1,1229340,1229940,NA,1,NA,NA,NA,NA,FA,1228490,1229340,1,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1236290,1236890,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1260600,1261400,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1272740,1273340,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1327400,1328000,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1329950,1331250,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1353550,1354270,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1377410,1378010,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1397170,1397920,NA,1,NA,NA,NA,NA,FA,1394670,1396280,1,NA,NA,FA,1398720,1400190,1,NA,NA
CH,annotated-0_51968990-1,1413060,1413770,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FA,1413770,1414770,1,NA,NA
CH,annotated-0_51968990-1,1454770,1455380,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1457630,1459040,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1462520,1463120,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FA,1463120,1464130,1,NA,NA
CH,annotated-0_51968990-1,1486240,1486850,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1492560,1493410,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1495010,1495810,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1510820,1511730,NA,1,NA,NA,NA,NA,FA,1509740,1510820,1,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1512950,1514190,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1521290,1521900,NA,1,NA,NA,NA,NA,FA,1520290,1521290,1,NA,NA,FA,1522700,1523700,1,NA,NA
CH,annotated-0_51968990-1,1538810,1540410,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1545680,1546280,NA,2,NA,NA,1547080,1548370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1547080,1548370,NA,2,1545680,1546280,NA,NA,NA,NA,NA,NA,NA,NA,FA,1548370,1549370,1,NA,NA
CH,annotated-0_51968990-1,1565410,1566410,NA,1,NA,NA,NA,NA,FA,1564610,1565410,2,1563540,1564610,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1619810,1620430,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1652460,1653450,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1657650,1658540,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1666760,1668240,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1669850,1670860,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1691870,1692940,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FA,1692940,1693980,1,NA,NA
CH,annotated-0_51968990-1,1715380,1717470,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1722900,1723760,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1725530,1726130,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1740040,1740640,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1744000,1745050,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1747200,1748410,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1749630,1752120,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1753710,1754310,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1760110,1760850,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1768040,1768720,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1780910,1781510,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FA,1781510,1782590,1,NA,NA
CH,annotated-0_51968990-1,1783410,1784190,NA,1,NA,NA,NA,NA,FA,1781510,1782590,1,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1790540,1791140,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1797220,1799780,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1816290,1816890,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1831990,1833100,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1850880,1852120,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1883690,1884290,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1917160,1917760,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1919770,1921620,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1923000,1923770,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1926730,1927330,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1930630,1931230,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1934150,1934780,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1940490,1941310,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1942630,1944350,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,1947420,1948190,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2022850,2023450,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2033310,2034090,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2077220,2077820,NA,2,NA,NA,2078660,2079410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2078660,2079410,NA,2,2077220,2077820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2093500,2094100,NA,2,NA,NA,2094900,2095850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2094900,2095850,NA,2,2093500,2094100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2102070,2103130,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2104820,2105430,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2106770,2107370,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2108730,2109750,NA,2,NA,NA,2109750,2110350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2109750,2110350,NA,2,2108730,2109750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2111440,2112040,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2121590,2123060,NA,2,NA,NA,2123990,2124870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2123990,2124870,NA,2,2121590,2123060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2130640,2131720,NA,2,NA,NA,2132570,2133340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2132570,2133340,NA,2,2130640,2131720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2135010,2136070,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FA,2136070,2137430,1,NA,NA
CH,annotated-0_51968990-1,2140920,2141940,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2143490,2144740,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2148270,2148950,NA,1,NA,NA,NA,NA,FA,2145760,2147450,1,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2151450,2152050,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2156220,2159370,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2161180,2162340,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2166790,2168260,NA,1,NA,NA,NA,NA,FA,2163790,2165910,1,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2172100,2172700,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2188860,2189500,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FA,2189500,2192060,1,NA,NA
CH,annotated-0_51968990-1,2221540,2222860,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2239790,2240990,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2247560,2248250,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2275720,2277110,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2299960,2300990,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2317110,2317780,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2345050,2345650,NA,2,NA,NA,2345650,2346870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2345650,2346870,NA,2,2345050,2345650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2347970,2348780,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FA,2348780,2350310,1,NA,NA
CH,annotated-0_51968990-1,2354050,2354740,NA,1,NA,NA,NA,NA,FA,2352250,2353250,1,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2365470,2366430,NA,2,NA,NA,2367370,2368000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2367370,2368000,NA,2,2365470,2366430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2372310,2373270,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2407680,2408520,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2413310,2413960,NA,3,NA,NA,2415870,2418030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2413960,2414960,NA,3,2413310,2413960,2415870,2418030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2415870,2418030,NA,3,2413310,2413960,NA,NA,NA,NA,NA,NA,NA,NA,FA,2418830,2419830,2,2420690,2421690
CH,annotated-0_51968990-1,2443630,2444330,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2445830,2446790,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2473860,2474680,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2490440,2491130,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FA,2492020,2493160,1,NA,NA
CH,annotated-0_51968990-1,2516190,2517330,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,2559610,2560960,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FA,2560960,2565400,1,NA,NA
