speaker,annot.clip,start.ms,stop.ms,addressee,spkr.n.increments,spkr.prev.increment.start,spkr.prev.increment.stop,spkr.post.increment.start,spkr.post.increment.stop,prompt.spkr,prompt.start.ms,prompt.stop.ms,prompt.n.increments,prompt.prev.increment.start,prompt.prev.increment.stop,response.spkr,response.start.ms,response.stop.ms,response.n.increments,response.post.increment.start,response.post.increment.stop,intseq.num,intseq.start.spkr,intseq.start.ms,intseq.stop.spkr,intseq.stop.ms,vocseq.num,vocseq.start.ms,vocseq.stop.ms,random.run.num
CH,annotated-0_51968990-1,252273,252883,NA,2,NA,NA,253182,254062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,252273,254062,1
CH,annotated-0_51968990-1,253182,254062,NA,2,252273,252883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,252273,254062,1
CH,annotated-0_51968990-1,279024,280134,NA,1,NA,NA,NA,NA,FA,276764,277764,1,NA,NA,NA,NA,NA,NA,NA,NA,11,FA,276764,CH,280134,NA,NA,NA,1
CH,annotated-0_51968990-1,294610,297250,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,294610,297250,1
CH,annotated-0_51968990-1,326472,327472,NA,1,NA,NA,NA,NA,FA,324811,325951,1,NA,NA,NA,NA,NA,NA,NA,NA,12,FA,324811,CH,327472,NA,NA,NA,1
CH,annotated-0_51968990-1,366594,367464,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FA,368911,369931,1,NA,NA,13,CH,366594,FA,369931,NA,NA,NA,1
CH,annotated-0_51968990-1,369028,369628,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,CH,366594,FA,369931,NA,NA,NA,1
CH,annotated-0_51968990-1,380720,381320,NA,1,NA,NA,NA,NA,CX,377875,378735,1,NA,NA,NA,NA,NA,NA,NA,NA,14,CX,377875,CH,381320,NA,NA,NA,1
CH,annotated-0_51968990-1,394628,395438,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,394628,395438,1
CH,annotated-0_51968990-1,416478,417618,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,416478,417618,1
CH,annotated-0_51968990-1,431180,431910,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,431180,431910,1
CH,annotated-0_51968990-1,434262,435982,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,434262,435982,1
CH,annotated-0_51968990-1,450466,451066,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,450466,451066,1
CH,annotated-0_51968990-1,464269,465189,NA,1,NA,NA,NA,NA,FA,461746,462776,1,NA,NA,NA,NA,NA,NA,NA,NA,15,FA,461746,CH,465189,NA,NA,NA,1
CH,annotated-0_51968990-1,479142,479792,NA,1,NA,NA,NA,NA,FA,476511,477601,1,NA,NA,NA,NA,NA,NA,NA,NA,16,FA,476511,CH,479792,NA,NA,NA,1
CH,annotated-0_51968990-1,490203,490813,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CX,492682,495082,1,NA,NA,17,CH,490203,CX,495082,NA,NA,NA,1
CH,annotated-0_51968990-1,506206,506866,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FA,507511,508561,1,NA,NA,18,CH,506206,FA,508561,NA,NA,NA,1
CH,annotated-0_51968990-1,512801,513471,NA,1,NA,NA,NA,NA,FA,511235,512235,1,NA,NA,NA,NA,NA,NA,NA,NA,19,FA,511235,CH,513471,NA,NA,NA,1
CH,annotated-0_51968990-1,520863,522493,NA,1,NA,NA,NA,NA,FA,517906,518916,1,NA,NA,NA,NA,NA,NA,NA,NA,20,FA,517906,CH,522493,NA,NA,NA,1
CH,annotated-0_51968990-1,541676,542576,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,541676,542576,1
CH,annotated-0_51968990-1,556446,558436,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,556446,558436,1
CH,annotated-0_51968990-1,564428,565028,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CX,565317,569677,1,NA,NA,21,CH,564428,CX,569677,NA,NA,NA,1
CH,annotated-0_51968990-1,568854,569454,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,CH,564428,CX,569677,NA,NA,NA,1
CH,annotated-0_51968990-1,596469,597069,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CX,596646,599276,1,NA,NA,22,CH,596469,CH,601602,NA,NA,NA,1
CH,annotated-0_51968990-1,598222,601602,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,CH,596469,CH,601602,NA,NA,NA,1
CH,annotated-0_51968990-1,611871,612681,NA,3,NA,NA,615073,616003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,611871,616003,1
CH,annotated-0_51968990-1,614354,614964,NA,3,611871,612681,615073,616003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,611871,616003,1
CH,annotated-0_51968990-1,615073,616003,NA,3,611871,612681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,611871,616003,1
CH,annotated-0_51968990-1,635781,636381,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,635781,636381,1
CH,annotated-0_51968990-1,638713,639343,NA,1,NA,NA,NA,NA,CX,638432,639232,1,NA,NA,FA,638869,639869,1,NA,NA,23,CX,638432,FA,639869,NA,NA,NA,1
CH,annotated-0_51968990-1,651356,652216,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MA,652135,653665,1,NA,NA,24,CH,651356,CH,654699,NA,NA,NA,1
CH,annotated-0_51968990-1,653859,654699,NA,1,NA,NA,NA,NA,MA,652135,653665,1,NA,NA,NA,NA,NA,NA,NA,NA,24,CH,651356,CH,654699,NA,NA,NA,1
CH,annotated-0_51968990-1,668288,668898,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FA,669246,670246,1,NA,NA,25,CH,668288,FA,670246,NA,NA,NA,1
CH,annotated-0_51968990-1,672423,674303,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,672423,674303,1
CH,annotated-0_51968990-1,690173,690833,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CX,691516,692476,1,NA,NA,26,CH,690173,CX,692476,NA,NA,NA,1
CH,annotated-0_51968990-1,696731,697751,NA,2,NA,NA,697844,699084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,696731,699084,1
CH,annotated-0_51968990-1,697844,699084,NA,2,696731,697751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,696731,699084,1
CH,annotated-0_51968990-1,747373,748363,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,747373,748363,1
CH,annotated-0_51968990-1,755741,756341,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,755741,756341,1
CH,annotated-0_51968990-1,769615,770215,NA,1,NA,NA,NA,NA,FA,767018,767618,2,765893,766693,NA,NA,NA,NA,NA,NA,27,FA,765893,CH,770215,NA,NA,NA,1
CH,annotated-0_51968990-1,777600,778200,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,777600,778200,1
CH,annotated-0_51968990-1,783769,784759,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,783769,784759,1
CH,annotated-0_51968990-1,790705,793115,NA,1,NA,NA,NA,NA,CX,788785,790005,1,NA,NA,NA,NA,NA,NA,NA,NA,28,CX,788785,CH,793115,NA,NA,NA,1
CH,annotated-0_51968990-1,807025,808345,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,807025,808345,1
CH,annotated-0_51968990-1,814981,815601,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,814981,815601,1
CH,annotated-0_51968990-1,830627,831397,NA,1,NA,NA,NA,NA,CX,829547,830947,1,NA,NA,NA,NA,NA,NA,NA,NA,29,CX,829547,CH,831397,NA,NA,NA,1
CH,annotated-0_51968990-1,833811,834411,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,833811,834411,1
CH,annotated-0_51968990-1,836533,837133,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,836533,837133,1
CH,annotated-0_51968990-1,855040,855820,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,855040,855820,1
CH,annotated-0_51968990-1,929251,929851,NA,1,NA,NA,NA,NA,FA,924525,928655,1,NA,NA,NA,NA,NA,NA,NA,NA,30,FA,924525,CH,929851,NA,NA,NA,1
CH,annotated-0_51968990-1,947228,947838,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,947228,947838,1
CH,annotated-0_51968990-1,959507,960307,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MA,961033,962033,1,NA,NA,31,CH,959507,MA,962033,NA,NA,NA,1
CH,annotated-0_51968990-1,977237,977837,NA,2,NA,NA,979093,979693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,977237,979693,1
CH,annotated-0_51968990-1,979093,979693,NA,2,977237,977837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,977237,979693,1
CH,annotated-0_51968990-1,983047,984157,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CX,985165,986305,1,NA,NA,32,CH,983047,CX,986305,NA,NA,NA,1
CH,annotated-0_51968990-1,1003755,1004675,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1003755,1004675,1
CH,annotated-0_51968990-1,1018695,1019295,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FA,1020096,1021096,1,NA,NA,33,CH,1018695,FA,1021096,NA,NA,NA,1
CH,annotated-0_51968990-1,1045509,1046119,NA,1,NA,NA,NA,NA,CX,1044609,1045409,1,NA,NA,NA,NA,NA,NA,NA,NA,34,CX,1044609,CH,1046119,NA,NA,NA,1
CH,annotated-0_51968990-1,1055556,1056756,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,1055556,1056756,1
CH,annotated-0_51968990-1,1081924,1082524,NA,1,NA,NA,NA,NA,CX,1080522,1082202,1,NA,NA,NA,NA,NA,NA,NA,NA,35,CX,1080522,CH,1082524,NA,NA,NA,1
CH,annotated-0_51968990-1,1095934,1097104,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,1095934,1097104,1
CH,annotated-0_51968990-1,1107496,1108096,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,1107496,1108096,1
CH,annotated-0_51968990-1,1113456,1114316,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FA,1115608,1116968,1,NA,NA,36,CH,1113456,FA,1116968,NA,NA,NA,1
CH,annotated-0_51968990-1,1121813,1122413,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FA,1123891,1124491,1,NA,NA,37,CH,1121813,FA,1124491,NA,NA,NA,1
CH,annotated-0_51968990-1,1129046,1129716,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1129046,1129716,1
CH,annotated-0_51968990-1,1157470,1158070,NA,2,NA,NA,1159232,1160222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,1157470,1160222,1
CH,annotated-0_51968990-1,1159232,1160222,NA,2,1157470,1158070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,1157470,1160222,1
CH,annotated-0_51968990-1,1166654,1167254,NA,1,NA,NA,NA,NA,CX,1165362,1167102,1,NA,NA,FA,1169067,1170137,1,NA,NA,38,CX,1165362,CH,1171099,NA,NA,NA,1
CH,annotated-0_51968990-1,1169839,1171099,NA,1,NA,NA,NA,NA,FA,1169067,1170137,1,NA,NA,NA,NA,NA,NA,NA,NA,38,CX,1165362,CH,1171099,NA,NA,NA,1
CH,annotated-0_51968990-1,1194256,1194856,NA,3,NA,NA,1198029,1198819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,1194256,1198819,1
CH,annotated-0_51968990-1,1195337,1196137,NA,3,1194256,1194856,1198029,1198819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,1194256,1198819,1
CH,annotated-0_51968990-1,1198029,1198819,NA,3,1194256,1194856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,1194256,1198819,1
CH,annotated-0_51968990-1,1201020,1201820,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,1201020,1201820,1
CH,annotated-0_51968990-1,1208899,1209499,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,1208899,1209499,1
CH,annotated-0_51968990-1,1253481,1255551,NA,1,NA,NA,NA,NA,FA,1252458,1253468,1,NA,NA,NA,NA,NA,NA,NA,NA,39,FA,1252458,CH,1255551,NA,NA,NA,1
CH,annotated-0_51968990-1,1258998,1259638,NA,2,NA,NA,1260404,1261204,CX,1258606,1259236,1,NA,NA,NA,NA,NA,NA,NA,NA,40,CX,1258606,CH,1261204,NA,NA,NA,1
CH,annotated-0_51968990-1,1260404,1261204,NA,2,1258998,1259638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,CX,1258606,CH,1261204,NA,NA,NA,1
CH,annotated-0_51968990-1,1291023,1291623,NA,1,NA,NA,NA,NA,FA,1289784,1290854,1,NA,NA,NA,NA,NA,NA,NA,NA,41,FA,1289784,CH,1291623,NA,NA,NA,1
CH,annotated-0_51968990-1,1296706,1297306,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,1296706,1297306,1
CH,annotated-0_51968990-1,1308451,1309051,NA,1,NA,NA,NA,NA,FA,1305734,1306824,1,NA,NA,FA,1308762,1309762,1,NA,NA,42,FA,1305734,FA,1309762,NA,NA,NA,1
CH,annotated-0_51968990-1,1319159,1320159,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,1319159,1320159,1
CH,annotated-0_51968990-1,1327797,1328397,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CX,1330036,1330836,1,NA,NA,43,CH,1327797,CX,1330836,NA,NA,NA,1
CH,annotated-0_51968990-1,1355505,1356185,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,1355505,1356185,1
CH,annotated-0_51968990-1,1370275,1370875,NA,1,NA,NA,NA,NA,FA,1368755,1369365,2,1365656,1368306,NA,NA,NA,NA,NA,NA,44,FA,1365656,CH,1370875,NA,NA,NA,1
CH,annotated-0_51968990-1,1470485,1472585,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FA,1474142,1475142,1,NA,NA,45,CH,1470485,FA,1475142,NA,NA,NA,1
CH,annotated-0_51968990-1,1474128,1474848,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,CH,1470485,FA,1475142,NA,NA,NA,1
CH,annotated-0_51968990-1,1505682,1508262,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CX,1508968,1509768,1,NA,NA,46,CH,1505682,CX,1509768,NA,NA,NA,1
CH,annotated-0_51968990-1,1526414,1527014,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,1526414,1527014,1
CH,annotated-0_51968990-1,1569639,1570329,NA,1,NA,NA,NA,NA,CX,1568586,1569426,1,NA,NA,MA,1570422,1571422,1,NA,NA,47,CX,1568586,FA,1575894,NA,NA,NA,1
CH,annotated-0_51968990-1,1573378,1574288,NA,1,NA,NA,NA,NA,MA,1570422,1571422,1,NA,NA,FA,1574614,1575894,1,NA,NA,47,CX,1568586,FA,1575894,NA,NA,NA,1
CH,annotated-0_51968990-1,1578998,1579618,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CX,1580956,1581756,1,NA,NA,48,CH,1578998,CX,1581756,NA,NA,NA,1
CH,annotated-0_51968990-1,1595564,1596564,NA,1,NA,NA,NA,NA,MA,1593287,1594287,1,NA,NA,FA,1595939,1596939,1,NA,NA,49,MA,1593287,FA,1596939,NA,NA,NA,1
CH,annotated-0_51968990-1,1606982,1607752,NA,2,NA,NA,1609415,1611355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,CH,1606982,CX,1613001,NA,NA,NA,1
CH,annotated-0_51968990-1,1609415,1611355,NA,2,1606982,1607752,NA,NA,NA,NA,NA,NA,NA,NA,CX,1612171,1613001,1,NA,NA,50,CH,1606982,CX,1613001,NA,NA,NA,1
CH,annotated-0_51968990-1,1631176,1632236,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,1631176,1632236,1
CH,annotated-0_51968990-1,1643039,1644489,NA,1,NA,NA,NA,NA,MA,1641848,1642848,1,NA,NA,CX,1646063,1648073,1,NA,NA,51,MA,1641848,CX,1648073,NA,NA,NA,1
CH,annotated-0_51968990-1,1657781,1658381,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1657781,1658381,1
CH,annotated-0_51968990-1,1663267,1664267,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,1663267,1664267,1
CH,annotated-0_51968990-1,1674445,1675265,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,1674445,1675265,1
CH,annotated-0_51968990-1,1679026,1679886,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CX,1680748,1681348,1,NA,NA,52,CH,1679026,CX,1681348,NA,NA,NA,1
CH,annotated-0_51968990-1,1714948,1716348,NA,1,NA,NA,NA,NA,CX,1714002,1714802,1,NA,NA,FA,1715935,1716955,1,NA,NA,53,CX,1714002,FA,1716955,NA,NA,NA,1
CH,annotated-0_51968990-1,1737633,1738273,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,1737633,1738273,1
CH,annotated-0_51968990-1,1742224,1743324,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,1742224,1743324,1
CH,annotated-0_51968990-1,1746929,1747769,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FA,1748711,1749931,1,NA,NA,54,CH,1746929,FA,1749931,NA,NA,NA,1
CH,annotated-0_51968990-1,1757360,1758160,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,1757360,1758160,1
CH,annotated-0_51968990-1,1766676,1767526,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,1766676,1767526,1
CH,annotated-0_51968990-1,1791676,1793806,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,1791676,1793806,1
CH,annotated-0_51968990-1,1847522,1848742,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FA,1849907,1851077,1,NA,NA,55,CH,1847522,FA,1851077,NA,NA,NA,1
CH,annotated-0_51968990-1,1901734,1904784,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CX,1906590,1907680,1,NA,NA,56,CH,1901734,CX,1907680,NA,NA,NA,1
CH,annotated-0_51968990-1,1924821,1925811,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,1924821,1925811,1
CH,annotated-0_51968990-1,1948368,1949098,NA,1,NA,NA,NA,NA,CX,1947184,1948124,2,1944495,1946415,CX,1950382,1951282,1,NA,NA,57,CX,1944495,CH,1953231,NA,NA,NA,1
CH,annotated-0_51968990-1,1952631,1953231,NA,1,NA,NA,NA,NA,FA,1950692,1951492,1,NA,NA,NA,NA,NA,NA,NA,NA,57,CX,1944495,CH,1953231,NA,NA,NA,1
CH,annotated-0_51968990-1,1970005,1970805,NA,1,NA,NA,NA,NA,FA,1966836,1969666,1,NA,NA,NA,NA,NA,NA,NA,NA,58,FA,1966836,CH,1970805,NA,NA,NA,1
CH,annotated-0_51968990-1,2010641,2011551,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CX,2012122,2012722,1,NA,NA,59,CH,2010641,CX,2012722,NA,NA,NA,1
CH,annotated-0_51968990-1,2041609,2042429,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,2041609,2042429,1
CH,annotated-0_51968990-1,2059675,2062855,NA,1,NA,NA,NA,NA,CX,2057889,2058829,1,NA,NA,NA,NA,NA,NA,NA,NA,60,CX,2057889,CH,2062855,NA,NA,NA,1
CH,annotated-0_51968990-1,2074364,2076134,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,2074364,2076134,1
CH,annotated-0_51968990-1,2079110,2079710,NA,1,NA,NA,NA,NA,CX,2078266,2078876,1,NA,NA,NA,NA,NA,NA,NA,NA,61,CX,2078266,CH,2079710,NA,NA,NA,1
CH,annotated-0_51968990-1,2083134,2083744,NA,2,NA,NA,2084968,2085578,FA,2082570,2083700,1,NA,NA,NA,NA,NA,NA,NA,NA,62,FA,2082570,CX,2088323,NA,NA,NA,1
CH,annotated-0_51968990-1,2084968,2085578,NA,2,2083134,2083744,NA,NA,NA,NA,NA,NA,NA,NA,CX,2087113,2088323,1,NA,NA,62,FA,2082570,CX,2088323,NA,NA,NA,1
